         18501500 function calls (16703748 primitive calls) in 629.123 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      123    0.000    0.000    0.001    0.000 _asarray.py:16(asarray)
       76    0.000    0.000    0.000    0.000 _asarray.py:88(asanyarray)
        1    0.000    0.000    0.025    0.025 _backend_tk.py:195(__init__)
        6    0.000    0.000    0.000    0.000 _backend_tk.py:27(_restore_foreground_window_at_end)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:490(__init__)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:515(_get_toolbar)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:524(_get_toolmanager)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:531(resize)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:570(set_window_title)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:588(__init__)
        7    0.000    0.000    0.021    0.003 _backend_tk.py:620(_Button)
        2    0.000    0.000    0.001    0.000 _backend_tk.py:630(_Spacer)
        1    0.000    0.000    0.023    0.023 _backend_tk.py:637(_init_toolbar)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:715(update)
        7    0.000    0.000    0.000    0.000 _backend_tk.py:726(createToolTip)
        7    0.000    0.000    0.000    0.000 _backend_tk.py:736(__init__)
        1    0.000    0.000    0.153    0.153 _backend_tk.py:944(new_figure_manager_given_figure)
        1    0.000    0.000    0.000    0.000 _base.py:1133(_set_title_offset_trans)
        2    0.000    0.000    0.000    0.000 _base.py:1222(set_aspect)
        2    0.000    0.000    0.000    0.000 _base.py:130(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:1304(set_adjustable)
        2    0.000    0.000    0.000    0.000 _base.py:143(set_prop_cycle)
        1    0.000    0.000    0.003    0.003 _base.py:1597(axis)
        1    0.000    0.000    0.000    0.000 _base.py:1819(add_artist)
        6    0.000    0.000    0.001    0.000 _base.py:2097(_process_unit_info)
       12    0.000    0.000    0.001    0.000 _base.py:2100(_process_single_axis)
        1    0.000    0.000    0.000    0.000 _base.py:2154(set_autoscale_on)
        1    0.000    0.000    0.000    0.000 _base.py:2185(use_sticky_edges)
        1    0.000    0.000    0.003    0.003 _base.py:2388(autoscale_view)
        1    0.000    0.000    0.000    0.000 _base.py:2415(<listcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:2416(<listcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:2417(<listcomp>)
        2    0.000    0.000    0.003    0.001 _base.py:2425(handle_single_axis)
        2    0.000    0.000    0.000    0.000 _base.py:2432(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2434(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2453(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:2500(_get_axis_list)
        1    0.000    0.000    0.000    0.000 _base.py:2708(set_axisbelow)
        2    0.000    0.000    0.017    0.008 _base.py:2744(grid)
        2    0.000    0.000    0.004    0.002 _base.py:2918(tick_params)
        1    0.000    0.000    0.000    0.000 _base.py:3027(set_axis_on)
        1    0.000    0.000    0.000    0.000 _base.py:3050(xaxis_inverted)
        1    0.000    0.000    0.000    0.000 _base.py:3064(get_xbound)
        1    0.000    0.000    0.001    0.001 _base.py:3080(set_xbound)
        5    0.000    0.000    0.000    0.000 _base.py:3120(get_xlim)
       12    0.000    0.000    0.001    0.000 _base.py:3143(_validate_converted_limits)
